ARQUIVO,PARTIDO,FUSAO_MENCIONA,FUSAO_INSTANCIA,FUSAO_QUORUM,FUSAO_MAJ,FUSAO_VOTO,FUSAO_CRIA,FUSAO_REJEITA,INCORPORACAO_MENCIONA,INCORPORACAO_INSTANCIA,INCORPORACAO_QUORUM,INCORPORACAO_MAJ,INCORPORACAO_VOTO,INCORPORACAO_CRIA,INCORPORACAO_REJEITA,DISSOLUCAO_MENCIONA,DISSOLUCAO_INSTANCIA,DISSOLUCAO_QUORUM,DISSOLUCAO_MAJ,DISSOLUCAO_VOTO,DISSOLUCAO_CRIA,DISSOLUCAO_REJEITA,ESTATUTO_MENCIONA,ESTATUTO_INSTANCIA,ESTATUTO_QUORUM,ESTATUTO_MAJ,ESTATUTO_VOTO,ESTATUTO_CRIA,ESTATUTO_REJEITA,FEDERACAO_MENCIONA,FEDERACAO_INSTANCIA,FEDERACAO_MAJ,FEDERACAO_VOTO,FEDERACAO_CRIA,FEDERACAO_REJEITA,ID
estatuto-do-partido-social-democrata-cristao-de-20.2002,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,26
estatuto-do-partido-social-democrata-cristao-de-14.2004,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,27
estatuto-do-partido-social-democrata-cristao-de-16.2006,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,28
estatuto-do-partido-social-democrata-cristao-de-18.2007,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,29
tse-estatuto-partido-psdc-30-11-2011,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,30
tse-estatuto-psdc-de-16-2-2016-deferido-em-10-5-2016,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,31
tse-estatuto-psdc-de-27-6-2017-deferido-em-17-5-2018-1554227207213,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO, NÃO CUMULATIVO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,32
tse-estatuto-do-partido-de-15-4-1996-resolucao-tse.563,MDB,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,33
tse-estatuto-do-partido-de-11-3-2007-resolucao-tse.112,MDB,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,34
tse-estatuto-do-partido-de-11-3-2007-resolucao-tse.564,MDB,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,35
tse-estatuto-pmdb-de-02-03-2013-deferido-em-10-10-2013,MDB,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,36
tse-estatuto-do-partido-pmdb-de-2-12-2016-aprovado-em-7-6-2016-1469633917134,MDB,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,37
tse-estatuto-partido-movimento-democratico-brasileiro,MDB,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,38
tse-estatuto-do-partido-pmdb-aprovado-em-18-12-2017,MDB,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,39
tse-estatuto-do-partido-novo-aprovado-em-15-09-2015,NOVO,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,4/5 SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,4/5 SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,4/5 ABSOLUTO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,40
tse-estatuto-do-partido-novo-aprovado-em-17-12-2015,NOVO,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,4/5 SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,4/5 SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,4/5 ABSOLUTO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,41
tse-estatuto-do-partido-novo-de-26-10-2016-aprovado-em-28-9-2017,NOVO,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,4/5 SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,4/5 SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,4/5 ABSOLUTO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,42
tse-estatuto-do-partido-novo-aprovado-em-26-04-2018,NOVO,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,4/5 SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,4/5 SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,4/5 ABSOLUTO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,43
tse-estatuto-do-partido-ecologico-nacional-aprovado-em-19-6-2012,PATRI,1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,COMISSÃO EXECUTIVA NACIONAL,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,COMISSÃO EXECUTIVA NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM 30%,MAIORIA ABSOLUTA,"ABERTO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,44
tse-estatuto-do-partido-pen-de-6-4-2013-aprovado-em-16-6-2014-1403297623512,PATRI,1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,CONVENÇÃO NACIONAL,QUORUM 30%,MAIORIA ABSOLUTA,"ABERTO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,45
tse-estatuto-do-partido-pen-de-15-1-2015-aprovado-em-17-3-2015,PATRI,1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,CONVENÇÃO NACIONAL,QUORUM 30%,MAIORIA ABSOLUTA,"ABERTO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,46
tse-estatuto-do-partido-pen-de-11-6-2016-aprovado-em-19-9-2017,PATRI,1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,CONVENÇÃO NACIONAL,QUORUM 30%,MAIORIA ABSOLUTA,"ABERTO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,47
tse-estatuto-do-partido-patriotade-26-8-2017-aprovado-em-26-4-2018,PATRI,1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,CONVENÇÃO NACIONAL,QUORUM 30%,MAIORIA ABSOLUTA,"ABERTO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,48
